ERROR_ROLLOVER 01
POST_FAIL 02
ERROR_UNDEFINED 03
A 04
B 05
C 06
D 07
E 08
F 09
G 0A
H 0B
I 0C
J 0D
K 0E
L 0F
M 10
N 11
O 12
P 13
Q 14
R 15
S 16
T 17
U 18
V 19
W 1A
X 1B
Y 1C
Z 1D
1 1E
2 1F
3 20
4 21
5 22
6 23
7 24
8 25
9 26
0 27
ENTER 28
ESC 29
DELETE 2A
TAB 2B
SPACE 2C
MINUS 2D
EQUAL 2E
LEFTBRACE 2F
RIGHTBRACE 30
BACKSLASH 31
NON_US_SHARP 32
SEMICOLON 33
APOSTROPHE 34
GRAVE 35
COMMA 36
DOT 37
SLASH 38
CAPSLOCK 39
F1 3A
F2 3B
F3 3C
F4 3D
F5 3E
F6 3F
F7 40
F8 41
F9 42
F10 43
F11 44
F12 45
SYSRQ 46
SCROLLLOCK 47
PAUSE 48
INSERT 49
HOME 4A
PAGEUP 4B
#DELETE 4C
END 4D
PAGEDOWN 4E
RIGHT 4F
LEFT 50
DOWN 51
UP 52
NUMLOCK 53
KPSLASH 54
KPASTERISK 55
KPMINUS 56
KPPLUS 57
KPENTER 58
KP1 59
KP2 5A
KP3 5B
KP4 5C
KP5 5D
KP6 5E
KP7 5F
KP8 60
KP9 61
KP0 62
KPDOT 63
102ND 64
COMPOSE 65
POWER 66
KPEQUAL 67
F13 68
F14 69
F15 6A
F16 6B
F17 6C
F18 6D
F19 6E
F20 6F
F21 70
F22 71
F23 72
F24 73
OPEN 74
HELP 75
PROPS 76
FRONT 77
STOP 78
AGAIN 79
UNDO 7A
CUT 7B
COPY 7C
PASTE 7D
FIND 7E
MUTE 7F
VOLUMEUP 80
VOLUMEDOWN 81
LOCKING_CAPSLOCK 82
LOCKING_NUMLOCK 83
LOCKING_SCROLLOCK 84
KPCOMMA 85
KPEQUALSIGN 86
RO 87
KATAKANAHIRAGANA 88
YEN 89
HENKAN 8A
MUHENKAN 8B
KPJPCOMMA 8C
INTERNATIONAL7 8D
INTERNATIONAL8 8E
INTERNATIONAL9 8F
HANGUEL 90
HANJA 91
KATAKANA 92
HIRAGANA 93
ZENKAKUHANKAKU 94
LANG6 95
LANG7 96
LANG8 97
LANG9 98
ALTERNATE_ERASE 99
ATTENTION 9A
CANCEL 9B
#DELETE 9C
PRIOR 9D
RETURN 9E
SEPARATOR 9F
OUT A0
#OPEN A1
CLEAR_AGAIN A2
SRSEL_PROPS A3
EXSEL A4
KP00 B0
KP000 B1
THOUSANDS_SEPARATOR B2
DECIMAL_SEPARATOR B3
CURRENCY_UNIT B4
CURRENCY_SUBUNIT B5
KPLEFTPAREN B6
KPRIGHTPAREN B7
KPLEFTBRACE B8
KPRIGHTBRACE B9
KPTAB BA
KPBACKSPACE BB
KPA BC
KPB BD
KPC BE
KPD BF
KPE C0
KPF C1
KPXOR C2
KPCIRCUMEFLEX_ACCENT C3
KPPERCENT C4
KPLESS_THAN C5
KPGREATER_THAN C6
KPAMP C7
KPDOUBLE_AMP C8
KPOR C9
KPDOUBLE_OR CA
KPCOLON CB
KPSHARP CC
KPSPACE CD
KPATMARK CE
KPEXCLAMATION CF
KPMEMORY_STORE D0
KPMEMORY_RECALL D1
KPMEMORY_CLEAR D2
KPMEMORY_ADD D3
KPMEMORY_SUBTRACT D4
KPMEMORY_MULTIPLE D5
KPMEMORY_DIVIDE D6
KPMEMORY_PLUSMINUS D7
KPCLEAR D8
KPCLEARENTRY D9
KPBINARY DA
KPOCTAL DB
KPDECIMAL DC
KPHEX DD
LEFT_CTRL E0
LEFT_SHIFT E1
LEFT_ALT E2
LEFT_GUI E3
RIGHT_CTRL E4
RIGHT_SHIFT E5
RIGHT_ALT E6
RIGHT_GUI E7
PLAYPAUSE E8
STOPCD E9
PREVIOUSSONG EA
NEXTSONG EB
EJECTCD EC
#VOLUMEUP ED
#VOLUMEDOWN EE
#MUTE EF
WWW F0
BACK F1
FORWARD F2
#STOP F3
#FIND F4
SCROLLUP F5
SCROLLDOWN F6
EDIT F7
SLEEP F8
COFFEE F9
REFRESH FA
CALC FB
